User,Turn,Phase,Phase_Label,Norm_VarEntropy
persona_115,2,whole,Whole,0.2101104371431619
persona_115,2,state_analysis,State Analysis,0.24809215304597143
persona_115,2,strategy,Strategy,0.2391679035730884
persona_115,2,response,Response,0.15601520698009472
persona_115,3,whole,Whole,0.1702465725730019
persona_115,3,state_analysis,State Analysis,0.16080387555901537
persona_115,3,strategy,Strategy,0.21127158005748395
persona_115,3,response,Response,0.1669780642316072
persona_115,4,whole,Whole,0.14573128118783607
persona_115,4,state_analysis,State Analysis,0.18032117239414536
persona_115,4,strategy,Strategy,0.0
persona_115,4,response,Response,0.12501488624910997
persona_115,5,whole,Whole,0.16591958376971608
persona_115,5,state_analysis,State Analysis,0.17380883637503583
persona_115,5,strategy,Strategy,0.0377817660941464
persona_115,5,response,Response,0.16922199627051507
persona_115,6,whole,Whole,0.18472843316344728
persona_115,6,state_analysis,State Analysis,0.1952933289400143
persona_115,6,strategy,Strategy,0.08474012412116023
persona_115,6,response,Response,0.17761731260794855
persona_115,7,whole,Whole,0.22527018509995894
persona_115,7,state_analysis,State Analysis,0.24508729408927088
persona_115,7,strategy,Strategy,0.12882705503149164
persona_115,7,response,Response,0.2011452654790731
persona_115,8,whole,Whole,0.21589115117654908
persona_115,8,state_analysis,State Analysis,0.2344434652281981
persona_115,8,strategy,Strategy,0.0
persona_115,8,response,Response,0.18427785278029063
persona_72,2,whole,Whole,0.17232927958216163
persona_72,2,state_analysis,State Analysis,0.22109959868832382
persona_72,2,strategy,Strategy,0.1379550984191267
persona_72,2,response,Response,0.13570315078197628
persona_72,3,whole,Whole,0.19147604057570308
persona_72,3,state_analysis,State Analysis,0.20294951551824011
persona_72,3,strategy,Strategy,0.20635286367664085
persona_72,3,response,Response,0.16701155432135348
persona_72,4,whole,Whole,0.18943260352033595
persona_72,4,state_analysis,State Analysis,0.18047775622190798
persona_72,4,strategy,Strategy,0.2130292256815912
persona_72,4,response,Response,0.18726860280969526
persona_72,5,whole,Whole,0.17119935128190203
persona_72,5,state_analysis,State Analysis,0.17050771996004552
persona_72,5,strategy,Strategy,0.0
persona_72,5,response,Response,0.18231051923100025
persona_72,6,whole,Whole,0.18487493275475622
persona_72,6,state_analysis,State Analysis,0.2182025494093925
persona_72,6,strategy,Strategy,0.0
persona_72,6,response,Response,0.17034585176526792
persona_72,7,whole,Whole,0.19946529258049944
persona_72,7,state_analysis,State Analysis,0.2065215678268637
persona_72,7,strategy,Strategy,0.013520838656768676
persona_72,7,response,Response,0.18982738689815407
persona_72,8,whole,Whole,0.21208823295531673
persona_72,8,state_analysis,State Analysis,0.23812684101449683
persona_72,8,strategy,Strategy,0.028821817527534314
persona_72,8,response,Response,0.19543523595607656
persona_72,9,whole,Whole,0.23422852245186923
persona_72,9,state_analysis,State Analysis,0.211426936337351
persona_72,9,strategy,Strategy,0.0
persona_72,9,response,Response,0.2461132394613966
persona_53,2,whole,Whole,0.15442898092669238
persona_53,2,state_analysis,State Analysis,0.22604600205900233
persona_53,2,strategy,Strategy,0.11037348349879897
persona_53,2,response,Response,0.11944719336503637
persona_53,3,whole,Whole,0.19247785229080125
persona_53,3,state_analysis,State Analysis,0.22548613475924323
persona_53,3,strategy,Strategy,0.15479294959046533
persona_53,3,response,Response,0.1725269237537808
persona_53,4,whole,Whole,0.1411879921447601
persona_53,4,state_analysis,State Analysis,0.17344009770184834
persona_53,4,strategy,Strategy,0.0
persona_53,4,response,Response,0.1230619211081928
persona_53,5,whole,Whole,0.1957703035771142
persona_53,5,state_analysis,State Analysis,0.20266754235483592
persona_53,5,strategy,Strategy,0.0
persona_53,5,response,Response,0.18809297462141122
persona_53,6,whole,Whole,0.18035799953825102
persona_53,6,state_analysis,State Analysis,0.1859457759658447
persona_53,6,strategy,Strategy,0.0
persona_53,6,response,Response,0.13613809177258468
persona_53,7,whole,Whole,0.18935373948127857
persona_53,7,state_analysis,State Analysis,0.20986426389613885
persona_53,7,strategy,Strategy,0.039070691223601205
persona_53,7,response,Response,0.16985500125917974
persona_53,8,whole,Whole,0.19196181166197115
persona_53,8,state_analysis,State Analysis,0.2156138639287121
persona_53,8,strategy,Strategy,0.21420834470143266
persona_53,8,response,Response,0.15015549994106356
persona_53,9,whole,Whole,0.2156014770359656
persona_53,9,state_analysis,State Analysis,0.24515226866028444
