User,Turn,Phase,Phase_Label,Max Sentence Entropy
persona_115,2,state_analysis,State Analysis,0.466555640759074
persona_115,2,strategy,Strategy,0.15835052815923503
persona_115,2,response,Response,0.4261348746248983
persona_115,2,overall,Overall,0.466555640759074
persona_115,3,state_analysis,State Analysis,0.7481092943811428
persona_115,3,strategy,Strategy,1.842068074395235e-18
persona_115,3,response,Response,0.5544192858618011
persona_115,3,overall,Overall,0.7481092943811428
persona_115,4,state_analysis,State Analysis,0.4303912315307196
persona_115,4,strategy,Strategy,0.5030923661160547
persona_115,4,response,Response,0.38735981968072397
persona_115,4,overall,Overall,0.4303912315307196
persona_115,5,state_analysis,State Analysis,0.5080957398093103
persona_115,5,strategy,Strategy,1.842068074395235e-18
persona_115,5,response,Response,0.4176038933385704
persona_115,5,overall,Overall,0.5080957398093103
persona_115,6,state_analysis,State Analysis,0.7422170096193695
persona_115,6,strategy,Strategy,0.13426758683945864
persona_115,6,response,Response,0.48500112014216856
persona_115,6,overall,Overall,0.7422170096193695
persona_115,7,state_analysis,State Analysis,0.5792565868235101
persona_115,7,strategy,Strategy,1.842068074395235e-18
persona_115,7,response,Response,0.31023805945704996
persona_115,7,overall,Overall,0.5792565868235101
persona_115,8,state_analysis,State Analysis,0.7375148213698174
persona_115,8,strategy,Strategy,0.31326895731448495
persona_115,8,response,Response,0.46526853181440075
persona_115,8,overall,Overall,0.7375148213698174
persona_115,9,state_analysis,State Analysis,0.6193696645712569
persona_115,9,strategy,Strategy,0.4113373497059906
persona_115,9,response,Response,0.39514230180099963
persona_115,9,overall,Overall,0.6193696645712569
persona_115,10,state_analysis,State Analysis,0.6621499418005694
persona_115,10,strategy,Strategy,0.26515212253860904
persona_115,10,response,Response,0.42528922874784914
persona_115,10,overall,Overall,0.6621499418005694
persona_72,2,state_analysis,State Analysis,0.43331630895315093
persona_72,2,strategy,Strategy,0.053117929909797246
persona_72,2,response,Response,0.3987997306362754
persona_72,2,overall,Overall,0.43331630895315093
persona_72,3,state_analysis,State Analysis,0.6236229771595605
persona_72,3,strategy,Strategy,1.842068074395235e-18
persona_72,3,response,Response,0.4343732457809068
persona_72,3,overall,Overall,0.6236229771595605
persona_72,4,state_analysis,State Analysis,0.5579033578093472
persona_72,4,strategy,Strategy,1.842068074395235e-18
persona_72,4,response,Response,0.33864696055863724
persona_72,4,overall,Overall,0.5579033578093472
persona_72,5,state_analysis,State Analysis,0.6900935737794439
persona_72,5,strategy,Strategy,1.842068074395235e-18
persona_72,5,response,Response,0.38322465916825527
persona_72,5,overall,Overall,0.6900935737794439
persona_72,6,state_analysis,State Analysis,0.7221679402778564
persona_72,6,strategy,Strategy,0.5357367173820551
persona_72,6,response,Response,0.6205649911261288
persona_72,6,overall,Overall,0.7221679402778564
persona_72,7,state_analysis,State Analysis,0.7245317032143205
persona_72,7,strategy,Strategy,0.30545392487261597
persona_72,7,response,Response,0.5737824466211192
persona_72,7,overall,Overall,0.7245317032143205
persona_72,8,state_analysis,State Analysis,0.6769921021701147
persona_72,8,strategy,Strategy,1.842068074395235e-18
persona_72,8,response,Response,0.3654817695448805
persona_72,8,overall,Overall,0.6769921021701147
persona_72,9,state_analysis,State Analysis,0.6116599961313915
persona_72,9,strategy,Strategy,0.08241543432463662
persona_72,9,response,Response,0.478777955196497
persona_72,9,overall,Overall,0.6116599961313915
persona_72,10,state_analysis,State Analysis,0.9073784352059516
persona_72,10,strategy,Strategy,1.842068074395235e-18
persona_72,10,response,Response,0.5086688322987238
persona_72,10,overall,Overall,0.9073784352059516
