User,Turn,Phase,Phase_Label,Norm_VarEntropy
persona_115,2,whole,Whole,0.1893635869962931
persona_115,2,state_analysis,State Analysis,0.193662428756267
persona_115,2,strategy,Strategy,0.05014977953661739
persona_115,2,response,Response,0.1937004383824306
persona_115,3,whole,Whole,0.18830502555777756
persona_115,3,state_analysis,State Analysis,0.205115866074325
persona_115,3,strategy,Strategy,0.0
persona_115,3,response,Response,0.1581508950977778
persona_115,4,whole,Whole,0.1485578723879628
persona_115,4,state_analysis,State Analysis,0.14980779012984471
persona_115,4,strategy,Strategy,0.2531019288442504
persona_115,4,response,Response,0.14930290621236478
persona_115,5,whole,Whole,0.17970817289362545
persona_115,5,state_analysis,State Analysis,0.18922221019699897
persona_115,5,strategy,Strategy,0.0
persona_115,5,response,Response,0.16758070569675132
persona_115,6,whole,Whole,0.20364791536891574
persona_115,6,state_analysis,State Analysis,0.21210698931033994
persona_115,6,strategy,Strategy,0.018027784875691566
persona_115,6,response,Response,0.19297467789378078
persona_115,7,whole,Whole,0.1554762386311435
persona_115,7,state_analysis,State Analysis,0.20813429889386956
persona_115,7,strategy,Strategy,0.0
persona_115,7,response,Response,0.09658158797396431
persona_115,8,whole,Whole,0.2398745311141973
persona_115,8,state_analysis,State Analysis,0.258420426385225
persona_115,8,strategy,Strategy,0.29441231885071384
persona_115,8,response,Response,0.18083830349342378
persona_115,9,whole,Whole,0.208454364114105
persona_115,9,state_analysis,State Analysis,0.23576668160645106
persona_115,9,strategy,Strategy,0.33839683052629677
persona_115,9,response,Response,0.148427999693875
persona_115,10,whole,Whole,0.2201120484103234
persona_115,10,state_analysis,State Analysis,0.23728456512932483
persona_115,10,strategy,Strategy,0.07030564808672954
persona_115,10,response,Response,0.19458735095067478
persona_72,2,whole,Whole,0.14243818766282756
persona_72,2,state_analysis,State Analysis,0.1654450678426809
persona_72,2,strategy,Strategy,0.005643028955804266
persona_72,2,response,Response,0.11656903575393247
persona_72,3,whole,Whole,0.171634091294741
persona_72,3,state_analysis,State Analysis,0.20264464784751207
persona_72,3,strategy,Strategy,0.0
persona_72,3,response,Response,0.14273375348964154
persona_72,4,whole,Whole,0.1633134867103383
persona_72,4,state_analysis,State Analysis,0.21198360938567498
persona_72,4,strategy,Strategy,0.0
persona_72,4,response,Response,0.1357286432472423
persona_72,5,whole,Whole,0.20435074326401745
persona_72,5,state_analysis,State Analysis,0.23646498249963727
persona_72,5,strategy,Strategy,0.0
persona_72,5,response,Response,0.15753612235882217
persona_72,6,whole,Whole,0.22150257558818462
persona_72,6,state_analysis,State Analysis,0.23900093058096317
persona_72,6,strategy,Strategy,0.28701383035129996
persona_72,6,response,Response,0.19080208483144004
persona_72,7,whole,Whole,0.22245170048709814
persona_72,7,state_analysis,State Analysis,0.22987390870652258
persona_72,7,strategy,Strategy,0.18660420044017148
persona_72,7,response,Response,0.1897776829314967
persona_72,8,whole,Whole,0.16327921685615193
persona_72,8,state_analysis,State Analysis,0.16094230914357913
persona_72,8,strategy,Strategy,0.0
persona_72,8,response,Response,0.15456161880738656
persona_72,9,whole,Whole,0.23710878611480773
persona_72,9,state_analysis,State Analysis,0.244802695975099
persona_72,9,strategy,Strategy,0.013584607629836987
persona_72,9,response,Response,0.22853793314101736
persona_72,10,whole,Whole,0.24316608712077528
persona_72,10,state_analysis,State Analysis,0.24399028584789315
persona_72,10,strategy,Strategy,0.0
persona_72,10,response,Response,0.19310882578143404
