User,Turn,Phase,Phase_Label,Norm_VarEntropy
persona_58,2,whole,Whole,0.15062259157844438
persona_58,2,state_analysis,State Analysis,0.10238128284248246
persona_58,2,strategy,Strategy,0.0
persona_58,2,response,Response,0.12589954589474317
persona_58,3,whole,Whole,0.12676677694244606
persona_58,3,state_analysis,State Analysis,0.13176031842904895
persona_58,3,strategy,Strategy,0.10405183628587485
persona_58,3,response,Response,0.12835818931335335
persona_58,4,whole,Whole,0.12160795501990146
persona_58,4,state_analysis,State Analysis,0.07786931685163956
persona_58,4,strategy,Strategy,0.12162774631848333
persona_58,4,response,Response,0.14375689351271764
persona_58,5,whole,Whole,0.10906126612247308
persona_58,5,state_analysis,State Analysis,0.09229845217784367
persona_58,5,strategy,Strategy,0.0749517390939432
persona_58,5,response,Response,0.15395317562815702
persona_58,6,whole,Whole,0.16088895802965217
persona_58,6,state_analysis,State Analysis,0.14073824524142645
persona_58,6,strategy,Strategy,0.0899524790708542
persona_58,6,response,Response,0.16622357989224848
persona_58,7,whole,Whole,0.1774037981246361
persona_58,7,state_analysis,State Analysis,0.15259517214730872
persona_58,7,strategy,Strategy,0.15524150970253903
persona_58,7,response,Response,0.1960717950341704
persona_58,8,whole,Whole,0.11203852170199913
persona_58,8,state_analysis,State Analysis,0.0966142156507039
persona_58,8,strategy,Strategy,0.11230975814684786
persona_58,8,response,Response,0.10547391165227442
persona_58,9,whole,Whole,0.15450747427731182
persona_58,9,state_analysis,State Analysis,0.1796428432013433
persona_58,9,strategy,Strategy,0.0
persona_58,9,response,Response,0.05270506632173171
persona_58,10,whole,Whole,0.17692641439957957
persona_58,10,state_analysis,State Analysis,0.16095815982768152
persona_58,10,strategy,Strategy,0.15523068132237278
persona_58,10,response,Response,0.10942318453366832
persona_13,2,whole,Whole,0.1445428193219471
persona_13,2,state_analysis,State Analysis,0.08860005593939878
persona_13,2,strategy,Strategy,0.21502900969154015
persona_13,2,response,Response,0.11629323362944477
persona_13,3,whole,Whole,0.11328491735076314
persona_13,3,state_analysis,State Analysis,0.08973996421373535
persona_13,3,strategy,Strategy,0.11436217888607053
persona_13,3,response,Response,0.17536444697057635
persona_13,4,whole,Whole,0.09674400837773452
persona_13,4,state_analysis,State Analysis,0.10252234761791575
persona_13,4,strategy,Strategy,0.0
persona_13,4,response,Response,0.1156390263119344
persona_13,5,whole,Whole,0.097446030504162
persona_13,5,state_analysis,State Analysis,0.10478109867982668
persona_13,5,strategy,Strategy,0.14992915081860383
persona_13,5,response,Response,0.09665776513219683
persona_13,6,whole,Whole,0.14791413196003236
persona_13,6,state_analysis,State Analysis,0.11348367444885997
persona_13,6,strategy,Strategy,0.12864111874461218
persona_13,6,response,Response,0.14369122700000475
persona_13,7,whole,Whole,0.1637665397777991
persona_13,7,state_analysis,State Analysis,0.153046270883148
persona_13,7,strategy,Strategy,0.16164963294827092
persona_13,7,response,Response,0.1395283389012794
persona_13,8,whole,Whole,0.14327115153895814
persona_13,8,state_analysis,State Analysis,0.18457004194671744
persona_13,8,strategy,Strategy,0.0
persona_13,8,response,Response,0.15661112139336775
persona_141,2,whole,Whole,0.10173721444961684
persona_141,2,state_analysis,State Analysis,0.07171282517538297
persona_141,2,strategy,Strategy,0.12838424986608696
persona_141,2,response,Response,0.13705906422079775
persona_141,3,whole,Whole,0.13475852200469318
persona_141,3,state_analysis,State Analysis,0.15838100353724735
persona_141,3,strategy,Strategy,0.13939372102883543
persona_141,3,response,Response,0.14074025131412612
persona_141,4,whole,Whole,0.10523771145037894
persona_141,4,state_analysis,State Analysis,0.1049697460511702
persona_141,4,strategy,Strategy,0.09897023984102764
persona_141,4,response,Response,0.12827472370327608
persona_141,5,whole,Whole,0.15002616540893676
persona_141,5,state_analysis,State Analysis,0.14353360443077037
persona_141,5,strategy,Strategy,0.13535985885294213
persona_141,5,response,Response,0.13616811515674043
persona_141,6,whole,Whole,0.1333278970958657
persona_141,6,state_analysis,State Analysis,0.10426998802481738
persona_141,6,strategy,Strategy,0.0
persona_141,6,response,Response,0.1292768183606698
persona_141,7,whole,Whole,0.17718977736159072
persona_141,7,state_analysis,State Analysis,0.14140185719914566
persona_141,7,strategy,Strategy,0.0
persona_141,7,response,Response,0.04556294629389857
persona_141,8,whole,Whole,0.1614965493526946
persona_141,8,state_analysis,State Analysis,0.15105152270765113
persona_141,8,strategy,Strategy,0.16123816204174682
persona_141,8,response,Response,0.12698207733220243
