Prev_System_Strategy,Prev_User_Resistance,Curr_System_Strategy,Total_Count,Success_Count,Win_Rate,Most_Common_Next_User_Reaction,Next_User_Reaction_Prob
Credibility Appeal,Hesitance,Foot in the Door,6,4,0.6666666666666666,Hesitance,0.5
Donation Information,Information Inquiry,Credibility Appeal,5,3,0.6,Hesitance,0.8
Foot in the Door,Hesitance,Self Modeling,4,2,0.5,Hesitance,0.75
Greeting,Others,Emotion Appeal,4,2,0.5,Information Inquiry,1.0
Credibility Appeal,Information Inquiry,Donation Information,4,1,0.25,Information Inquiry,0.75
Greeting,Others,Personal Story,3,2,0.6666666666666666,Information Inquiry,0.6666666666666666
Personal Story,Hesitance,Foot in the Door,3,2,0.6666666666666666,Information Inquiry,0.3333333333333333
Emotion Appeal,Information Inquiry,Credibility Appeal,3,2,0.6666666666666666,Hesitance,0.3333333333333333
Greeting,Others,Foot in the Door,3,2,0.6666666666666666,Information Inquiry,1.0
Foot in the Door,Information Inquiry,Donation Information,3,1,0.3333333333333333,Information Inquiry,0.6666666666666666
Greeting,Others,Credibility Appeal,3,1,0.3333333333333333,Information Inquiry,1.0
Greeting,Others,Logical Appeal,3,1,0.3333333333333333,Information Inquiry,1.0
Donation Information,Hesitance,Foot in the Door,3,1,0.3333333333333333,Hesitance,1.0
Foot in the Door,Hesitance,Personal Story,3,1,0.3333333333333333,Hesitance,0.3333333333333333
Foot in the Door,Information Inquiry,Credibility Appeal,2,2,1.0,Hesitance,1.0
Personal Story,Information Inquiry,Credibility Appeal,2,2,1.0,Hesitance,1.0
Credibility Appeal,Hesitance,Personal Related Inquiry,2,1,0.5,Hesitance,0.5
Personal Story,Information Inquiry,Donation Information,2,1,0.5,Information Inquiry,1.0
Credibility Appeal,Hesitance,Self Modeling,2,1,0.5,Personal Choice,1.0
Logical Appeal,Information Inquiry,Credibility Appeal,2,1,0.5,Information Inquiry,1.0
Credibility Appeal,Hesitance,Personal Story,2,1,0.5,Self Pity,0.5
Emotion Appeal,Information Inquiry,Donation Information,2,1,0.5,Hesitance,1.0
Self Modeling,Hesitance,Personal Story,2,1,0.5,Hesitance,1.0
Source Related Inquiry,Hesitance,Self Modeling,2,0,0.0,Hesitance,1.0
Donation Information,Information Inquiry,Personal Story,2,0,0.0,Hesitance,1.0
Personal Story,Hesitance,Personal Related Inquiry,2,0,0.0,Hesitance,1.0
Source Related Inquiry,Information Inquiry,Source Related Inquiry,2,0,0.0,Hesitance,1.0
Self Modeling,Personal Choice,Personal Related Inquiry,2,0,0.0,Personal Choice,1.0
Task Related Inquiry,Others,Self Modeling,2,0,0.0,Personal Choice,0.5
Personal Related Inquiry,Hesitance,Logical Appeal,1,1,1.0,Donate,1.0
Personal Story,Self Pity,Self Modeling,1,1,1.0,Personal Choice,1.0
Self Modeling,Personal Choice,Logical Appeal,1,1,1.0,Hesitance,1.0
Logical Appeal,Hesitance,Personal Related Inquiry,1,1,1.0,Self-assertion,1.0
Personal Related Inquiry,Self-assertion,Logical Appeal,1,1,1.0,Donate,1.0
Greeting,Self Pity,Emotion Appeal,1,1,1.0,Information Inquiry,1.0
Credibility Appeal,Information Inquiry,Credibility Appeal,1,1,1.0,Hesitance,1.0
Credibility Appeal,Information Inquiry,Foot in the Door,1,1,1.0,Hesitance,1.0
