Triplet,Prob_Success,Prob_Fail,Golden_Diff,Deadlock_Diff
Action Facilitation -> Evasion -> Action Facilitation,0.19311875693673697,0.329971181556196,-0.136852424619459,0.136852424619459
Action Facilitation -> Defensive -> Action Facilitation,0.029966703662597113,0.07780979827089338,-0.04784309460829626,0.04784309460829626
Action Facilitation -> Evasion -> Exploration,0.018867924528301886,0.030979827089337175,-0.012111902561035288,0.012111902561035288
Exploration -> Defensive -> Exploration,0.0022197558268590455,0.011527377521613832,-0.009307621694754787,0.009307621694754787
Action Facilitation -> Defensive -> Exploration,0.004439511653718091,0.010806916426512969,-0.006367404772794878,0.006367404772794878
Action Facilitation -> Defensive -> Core Persuasion,0.014428412874583796,0.018731988472622477,-0.0043035755980386815,0.0043035755980386815
Other -> Evasion -> Action Facilitation,0.004439511653718091,0.00792507204610951,-0.0034855603923914192,0.0034855603923914192
Exploration -> Evasion -> Exploration,0.006659267480577136,0.010086455331412104,-0.0034271878508349675,0.0034271878508349675
Other -> Evasion -> Exploration,0.0001,0.002881844380403458,-0.002781844380403458,0.002781844380403458
Exploration -> Defensive -> Action Facilitation,0.008879023307436182,0.011527377521613832,-0.00264835421417765,0.00264835421417765
Exploration -> Evasion -> Action Facilitation,0.042175360710321866,0.0446685878962536,-0.002493227185931736,0.002493227185931736
Exploration -> Defensive -> Core Persuasion,0.01220865704772475,0.01440922190201729,-0.00220056485429254,0.00220056485429254
Action Facilitation -> Offensive -> Action Facilitation,0.0022197558268590455,0.0036023054755043226,-0.001382549648645277,0.001382549648645277
Action Facilitation -> Offensive -> Exploration,0.0001,0.001440922190201729,-0.001340922190201729,0.001340922190201729
Other -> Evasion -> Core Persuasion,0.0022197558268590455,0.002881844380403458,-0.0006620885535444125,0.0006620885535444125
