Triplet,Prob_Success,Prob_Fail,Golden_Diff,Deadlock_Diff
Foot in the Door -> Hesitance -> Foot in the Door,0.05824175824175824,0.15543328748280605,-0.0971915292410478,0.0971915292410478
Self Modeling -> Hesitance -> Self Modeling,0.015384615384615385,0.030949105914718018,-0.015564490530102632,0.015564490530102632
Foot in the Door -> Others -> Foot in the Door,0.0032967032967032967,0.018569463548830812,-0.015272760252127515,0.015272760252127515
Foot in the Door -> Personal Choice -> Foot in the Door,0.002197802197802198,0.0171939477303989,-0.014996145532596702,0.014996145532596702
Foot in the Door -> Hesitance -> Self Modeling,0.031868131868131866,0.0453920220082531,-0.01352389014012123,0.01352389014012123
Foot in the Door -> Personal Choice -> Self Modeling,0.004395604395604396,0.015130674002751032,-0.010735069607146637,0.010735069607146637
 -> Hesitance -> ,0.0001,0.01031636863823934,-0.01021636863823934,0.01021636863823934
Self Modeling -> Personal Choice -> Foot in the Door,0.005494505494505495,0.015130674002751032,-0.009636168508245536,0.009636168508245536
Self Modeling -> Personal Choice -> Self Modeling,0.008791208791208791,0.017881705639614855,-0.009090496848406064,0.009090496848406064
Foot in the Door -> Hesitance -> ,0.0001,0.0068775790921595595,-0.006777579092159559,0.006777579092159559
Foot in the Door -> Information Inquiry -> Personal Story,0.001098901098901099,0.007565337001375516,-0.006466435902474418,0.006466435902474418
 -> Hesitance -> Foot in the Door,0.0001,0.004814305364511692,-0.004714305364511692,0.004714305364511692
Task Related Inquiry -> Information Inquiry -> Credibility Appeal,0.0001,0.0041265474552957355,-0.004026547455295735,0.004026547455295735
Foot in the Door -> Information Inquiry -> Foot in the Door,0.002197802197802198,0.006189821182943604,-0.003992018985141406,0.003992018985141406
Foot in the Door -> Personal Choice -> Personal Story,0.001098901098901099,0.004814305364511692,-0.0037154042656105933,0.0037154042656105933
