Triplet,Prob_Success,Prob_Fail,Golden_Diff
Core Persuasion -> Evasion -> Action Facilitation,0.21642619311875694,0.1260806916426513,0.09034550147610565
Core Persuasion -> Evasion -> Core Persuasion,0.146503884572697,0.07708933717579251,0.06941454739690449
Action Facilitation -> Evasion -> Core Persuasion,0.10876803551609324,0.07853025936599424,0.030237776150098997
Exploration -> Evasion -> Core Persuasion,0.06215316315205328,0.04971181556195965,0.012441347590093625
Core Persuasion -> Defensive -> Action Facilitation,0.03995560488346282,0.02881844380403458,0.011137161079428241
Core Persuasion -> Evasion -> Exploration,0.03551609322974473,0.026657060518731988,0.008859032711012741
Core Persuasion -> Offensive -> Core Persuasion,0.009988901220865706,0.002161383285302594,0.007827517935563112
Exploration -> Offensive -> Action Facilitation,0.004439511653718091,0.0007204610951008645,0.0037190505586172265
Core Persuasion -> Offensive -> Action Facilitation,0.004439511653718091,0.002161383285302594,0.0022781283684154973
Exploration -> Offensive -> Core Persuasion,0.0022197558268590455,0.0001,0.0021197558268590457
Core Persuasion -> Offensive -> Exploration,0.0011098779134295228,0.0001,0.0010098779134295227
Core Persuasion -> Defensive -> Core Persuasion,0.01553829078801332,0.015129682997118156,0.00040860779089516366
Action Facilitation -> Compliance -> Action Facilitation,0.0011098779134295228,0.0007204610951008645,0.00038941681832865827
Other -> Defensive -> Action Facilitation,0.0011098779134295228,0.001440922190201729,-0.00033104427677220624
Core Persuasion -> Defensive -> Exploration,0.006659267480577136,0.007204610951008645,-0.0005453434704315091
