Triplet,Prob_Success,Prob_Fail,Golden_Diff
Core Persuasion -> Evasion -> Action Facilitation,0.1716867469879518,0.10737033666969972,0.06431641031825208
Core Persuasion -> Evasion -> Core Persuasion,0.13102409638554216,0.06915377616014559,0.06187032022539657
Action Facilitation -> Evasion -> Core Persuasion,0.08885542168674698,0.06551410373066424,0.02334131795608274
Exploration -> Evasion -> Core Persuasion,0.060240963855421686,0.03821656050955414,0.022024403345867548
Core Persuasion -> Evasion -> Exploration,0.05271084337349398,0.036396724294813464,0.016314119078680515
Exploration -> Evasion -> Action Facilitation,0.07530120481927711,0.06596906278434941,0.009332142034927701
Exploration -> Defensive -> Core Persuasion,0.01355421686746988,0.00545950864422202,0.00809470822324786
Core Persuasion -> Offensive -> Action Facilitation,0.006024096385542169,0.001364877161055505,0.004659219224486664
Core Persuasion -> Defensive -> Core Persuasion,0.010542168674698794,0.008644222020018199,0.0018979466546805955
Core Persuasion -> Offensive -> Exploration,0.0015060240963855422,0.0001,0.0014060240963855422
Exploration -> Offensive -> Core Persuasion,0.0015060240963855422,0.0001,0.0014060240963855422
Action Facilitation -> Offensive -> Core Persuasion,0.0030120481927710845,0.0018198362147406734,0.001192211978030411
Core Persuasion -> Offensive -> Core Persuasion,0.0030120481927710845,0.0018198362147406734,0.001192211978030411
Other -> Evasion -> Core Persuasion,0.0015060240963855422,0.00045495905368516835,0.001051065042700374
Action Facilitation -> Offensive -> Exploration,0.0015060240963855422,0.0009099181073703367,0.0005961059890152055
