Triplet,Prob_Success,Prob_Fail,Golden_Diff,Deadlock_Diff
Action Facilitation -> Defensive -> Action Facilitation,0.07307692307692308,0.15172413793103448,-0.0786472148541114,0.0786472148541114
Action Facilitation -> Evasion -> Action Facilitation,0.41923076923076924,0.44275862068965516,-0.023527851458885918,0.023527851458885918
Action Facilitation -> Evasion -> Exploration,0.023076923076923078,0.04482758620689655,-0.021750663129973473,0.021750663129973473
Exploration -> Evasion -> Exploration,0.011538461538461539,0.025517241379310347,-0.013978779840848807,0.013978779840848807
Exploration -> Defensive -> Action Facilitation,0.015384615384615385,0.023448275862068966,-0.00806366047745358,0.00806366047745358
Action Facilitation -> Defensive -> Core Persuasion,0.0038461538461538464,0.00896551724137931,-0.0051193633952254635,0.0051193633952254635
Exploration -> Evasion -> Core Persuasion,0.007692307692307693,0.012413793103448275,-0.004721485411140583,0.004721485411140583
Action Facilitation -> Offensive -> Action Facilitation,0.015384615384615385,0.019310344827586208,-0.0039257294429708225,0.0039257294429708225
Action Facilitation -> Compliance -> Action Facilitation,0.0001,0.002758620689655172,-0.0026586206896551724,0.0026586206896551724
Exploration -> Defensive -> Exploration,0.007692307692307693,0.010344827586206896,-0.0026525198938992037,0.0026525198938992037
Core Persuasion -> Defensive -> Core Persuasion,0.007692307692307693,0.009655172413793104,-0.0019628647214854113,0.0019628647214854113
Core Persuasion -> Defensive -> Exploration,0.0038461538461538464,0.005517241379310344,-0.001671087533156498,0.001671087533156498
Core Persuasion -> Compliance -> Action Facilitation,0.0001,0.000689655172413793,-0.000589655172413793,0.000589655172413793
Exploration -> Offensive -> Action Facilitation,0.0001,0.000689655172413793,-0.000589655172413793,0.000589655172413793
Core Persuasion -> Defensive -> Action Facilitation,0.023076923076923078,0.023448275862068966,-0.0003713527851458877,0.0003713527851458877
