Triplet,Prob_Success,Prob_Fail,Golden_Diff,Deadlock_Diff
Exploration -> Evasion -> Action Facilitation,0.04918032786885246,0.07394957983193277,-0.024769251963080316,0.024769251963080316
Action Facilitation -> Evasion -> Exploration,0.019672131147540985,0.03361344537815126,-0.013941314230610274,0.013941314230610274
Exploration -> Evasion -> Exploration,0.006557377049180328,0.020168067226890758,-0.01361069017771043,0.01361069017771043
Core Persuasion -> Evasion -> Exploration,0.05901639344262295,0.07226890756302522,-0.013252514120402265,0.013252514120402265
Action Facilitation -> Defensive -> Action Facilitation,0.019672131147540985,0.030252100840336135,-0.01057996969279515,0.01057996969279515
Action Facilitation -> Defensive -> Core Persuasion,0.003278688524590164,0.011764705882352941,-0.008486017357762776,0.008486017357762776
Core Persuasion -> Defensive -> Action Facilitation,0.019672131147540985,0.02689075630252101,-0.007218625154980025,0.007218625154980025
Exploration -> Defensive -> Action Facilitation,0.0001,0.0067226890756302525,-0.006622689075630252,0.006622689075630252
Core Persuasion -> Defensive -> Exploration,0.003278688524590164,0.008403361344537815,-0.005124672819947651,0.005124672819947651
Core Persuasion -> Offensive -> Core Persuasion,0.003278688524590164,0.0067226890756302525,-0.0034440005510400886,0.0034440005510400886
Other -> Evasion -> Action Facilitation,0.0001,0.0033613445378151263,-0.0032613445378151264,0.0032613445378151264
Action Facilitation -> Offensive -> Core Persuasion,0.003278688524590164,0.005042016806722689,-0.0017633282821325254,0.0017633282821325254
Action Facilitation -> Evasion -> Core Persuasion,0.12459016393442623,0.12605042016806722,-0.0014602562336409886,0.0014602562336409886
Action Facilitation -> Defensive -> Exploration,0.006557377049180328,0.0067226890756302525,-0.00016531202644992464,0.00016531202644992464
Other -> Evasion -> Core Persuasion,0.003278688524590164,0.0016806722689075631,0.0015980162556826008,-0.0015980162556826008
