Triplet,Prob_Success,Prob_Fail,Golden_Diff,Deadlock_Diff
Action Facilitation -> Evasion -> Action Facilitation,0.2545180722891566,0.3325750682438581,-0.07805699595470145,0.07805699595470145
Action Facilitation -> Defensive -> Action Facilitation,0.03765060240963856,0.10828025477707007,-0.07062965236743152,0.07062965236743152
Action Facilitation -> Evasion -> Exploration,0.01957831325301205,0.03958143767060965,-0.0200031244175976,0.0200031244175976
Exploration -> Evasion -> Exploration,0.012048192771084338,0.02502274795268426,-0.012974555181599921,0.012974555181599921
Exploration -> Defensive -> Action Facilitation,0.006024096385542169,0.017743403093721567,-0.011719306708179398,0.011719306708179398
Action Facilitation -> Defensive -> Core Persuasion,0.0030120481927710845,0.009099181073703366,-0.006087132880932281,0.006087132880932281
Core Persuasion -> Defensive -> Action Facilitation,0.018072289156626505,0.022747952684258416,-0.00467566352763191,0.00467566352763191
Action Facilitation -> Offensive -> Action Facilitation,0.009036144578313253,0.013193812556869881,-0.004157667978556628,0.004157667978556628
Exploration -> Defensive -> Exploration,0.0030120481927710845,0.006824385805277525,-0.0038123376125064404,0.0038123376125064404
Core Persuasion -> Defensive -> Exploration,0.0030120481927710845,0.005914467697907188,-0.002902419505136104,0.002902419505136104
Action Facilitation -> Defensive -> Exploration,0.010542168674698794,0.012283894449499545,-0.0017417257748007509,0.0017417257748007509
Action Facilitation -> Compliance -> Action Facilitation,0.0001,0.0018198362147406734,-0.0017198362147406734,0.0017198362147406734
Exploration -> Offensive -> Action Facilitation,0.0001,0.00045495905368516835,-0.00035495905368516836,0.00035495905368516836
Core Persuasion -> Compliance -> Action Facilitation,0.0001,0.00045495905368516835,-0.00035495905368516836,0.00035495905368516836
Other -> Evasion -> Action Facilitation,0.0015060240963855422,0.0009099181073703367,0.0005961059890152055,-0.0005961059890152055
