Triplet,Prob_Success,Prob_Fail,Golden_Diff,Deadlock_Diff
Logical Appeal -> Information Inquiry -> Donation Information,0.0001,0.032679738562091505,-0.0325797385620915,0.0325797385620915
Foot in the Door -> Information Inquiry -> Donation Information,0.010101010101010102,0.0392156862745098,-0.0291146761734997,0.0291146761734997
Emotion Appeal -> Information Inquiry -> Donation Information,0.050505050505050504,0.0718954248366013,-0.021390374331550797,0.021390374331550797
Greeting -> Others -> Emotion Appeal,0.050505050505050504,0.0718954248366013,-0.021390374331550797,0.021390374331550797
Greeting -> Others -> Logical Appeal,0.030303030303030304,0.0457516339869281,-0.015448603683897798,0.015448603683897798
Emotion Appeal -> Information Inquiry -> Source Related Inquiry,0.050505050505050504,0.06535947712418301,-0.014854426619132506,0.014854426619132506
Foot in the Door -> Information Inquiry -> Logical Appeal,0.0001,0.013071895424836602,-0.012971895424836602,0.012971895424836602
Emotion Appeal -> Hesitance -> Emotion Appeal,0.0001,0.013071895424836602,-0.012971895424836602,0.012971895424836602
Greeting -> Information Inquiry -> Emotion Appeal,0.0001,0.013071895424836602,-0.012971895424836602,0.012971895424836602
Greeting -> Others -> Greeting,0.030303030303030304,0.0392156862745098,-0.0089126559714795,0.0089126559714795
Greeting -> Others -> Self Modeling,0.030303030303030304,0.0392156862745098,-0.0089126559714795,0.0089126559714795
Emotion Appeal -> Information Inquiry -> Logical Appeal,0.030303030303030304,0.0392156862745098,-0.0089126559714795,0.0089126559714795
Emotion Appeal -> Information Inquiry -> Credibility Appeal,0.050505050505050504,0.058823529411764705,-0.008318478906714201,0.008318478906714201
Greeting -> Hesitance -> Self Modeling,0.0001,0.006535947712418301,-0.006435947712418301,0.006435947712418301
Emotion Appeal -> Hesitance -> Personal Story,0.0001,0.006535947712418301,-0.006435947712418301,0.006435947712418301
