Triplet,Prob_Success,Prob_Fail,Golden_Diff,Deadlock_Diff
Foot in the Door -> Personal Choice -> Foot in the Door,0.022988505747126436,0.05172413793103448,-0.028735632183908046,0.028735632183908046
Self Modeling -> Personal Choice -> Self Modeling,0.0038314176245210726,0.032413793103448274,-0.0285823754789272,0.0285823754789272
Self Modeling -> Hesitance -> Self Modeling,0.01532567049808429,0.03379310344827586,-0.01846743295019157,0.01846743295019157
Foot in the Door -> Personal Choice -> Self Modeling,0.0038314176245210726,0.021379310344827585,-0.01754789272030651,0.01754789272030651
Foot in the Door -> Others -> Foot in the Door,0.0038314176245210726,0.02,-0.016168582375478927,0.016168582375478927
Foot in the Door -> Information Inquiry -> Foot in the Door,0.0001,0.01310344827586207,-0.01300344827586207,0.01300344827586207
Foot in the Door -> Hesitance -> Self Modeling,0.038314176245210725,0.05103448275862069,-0.012720306513409968,0.012720306513409968
Self Modeling -> Personal Choice -> Foot in the Door,0.022988505747126436,0.029655172413793104,-0.006666666666666668,0.006666666666666668
Personal Related Inquiry -> Personal Choice -> Foot in the Door,0.0038314176245210726,0.010344827586206896,-0.006513409961685824,0.006513409961685824
Source Related Inquiry -> Hesitance -> Self Modeling,0.0038314176245210726,0.010344827586206896,-0.006513409961685824,0.006513409961685824
Source Related Inquiry -> Hesitance -> Source Related Inquiry,0.0001,0.006206896551724138,-0.006106896551724137,0.006106896551724137
Self Modeling -> Others -> Self Modeling,0.0001,0.004827586206896552,-0.004727586206896552,0.004727586206896552
Source Related Inquiry -> Information Inquiry -> Foot in the Door,0.0001,0.004827586206896552,-0.004727586206896552,0.004727586206896552
Foot in the Door -> Others -> Self Modeling,0.0001,0.004827586206896552,-0.004727586206896552,0.004727586206896552
Foot in the Door -> Hesitance -> Source Related Inquiry,0.0038314176245210726,0.008275862068965517,-0.004444444444444445,0.004444444444444445
