Triplet,Prob_Success,Prob_Fail,Golden_Diff,Deadlock_Diff
Credibility Appeal -> Information Inquiry -> Source Related Inquiry,0.0196078431372549,0.05351170568561873,-0.033903862548363826,0.033903862548363826
Source Related Inquiry -> Hesitance -> Foot in the Door,0.0196078431372549,0.04013377926421405,-0.020525936126959146,0.020525936126959146
Donation Information -> Information Inquiry -> Credibility Appeal,0.029411764705882353,0.043478260869565216,-0.014066496163682864,0.014066496163682864
Credibility Appeal -> Information Inquiry -> Personal Story,0.013071895424836602,0.026755852842809364,-0.013683957417972762,0.013683957417972762
Foot in the Door -> Personal Choice -> Foot in the Door,0.0001,0.010033444816053512,-0.009933444816053513,0.009933444816053513
Personal Story -> Information Inquiry -> Donation Information,0.0001,0.008361204013377926,-0.008261204013377927,0.008261204013377927
Task Related Inquiry -> Information Inquiry -> Credibility Appeal,0.0032679738562091504,0.010033444816053512,-0.006765470959844361,0.006765470959844361
Donation Information -> Information Inquiry -> Self Modeling,0.0001,0.006688963210702341,-0.006588963210702341,0.006588963210702341
Source Related Inquiry -> Hesitance -> Task Related Inquiry,0.0001,0.006688963210702341,-0.006588963210702341,0.006588963210702341
Personal Story -> Information Inquiry -> Source Related Inquiry,0.0001,0.006688963210702341,-0.006588963210702341,0.006588963210702341
Source Related Inquiry -> Information Inquiry -> Credibility Appeal,0.00980392156862745,0.015050167224080268,-0.005246245655452817,0.005246245655452817
Donation Information -> Hesitance -> Personal Story,0.006535947712418301,0.011705685618729096,-0.005169737906310795,0.005169737906310795
Source Related Inquiry -> Hesitance -> Self Modeling,0.0032679738562091504,0.008361204013377926,-0.005093230157168775,0.005093230157168775
Credibility Appeal -> Information Inquiry -> Foot in the Door,0.0001,0.005016722408026756,-0.004916722408026756,0.004916722408026756
Foot in the Door -> Personal Choice -> Personal Story,0.0001,0.005016722408026756,-0.004916722408026756,0.004916722408026756
