Triplet,Prob_Success,Prob_Fail,Golden_Diff
Core Persuasion -> Evasion -> Core Persuasion,0.2727272727272727,0.19607843137254902,0.07664884135472369
Exploration -> Defensive -> Core Persuasion,0.04040404040404041,0.0001,0.040304040404040405
Exploration -> Evasion -> Action Facilitation,0.1414141414141414,0.11764705882352941,0.023767082590612
Core Persuasion -> Evasion -> Exploration,0.09090909090909091,0.0915032679738562,-0.0005941770647652916
Action Facilitation -> Evasion -> Exploration,0.010101010101010102,0.013071895424836602,-0.0029708853238265
Exploration -> Defensive -> Action Facilitation,0.0001,0.006535947712418301,-0.006435947712418301
Core Persuasion -> Offensive -> Action Facilitation,0.0001,0.006535947712418301,-0.006435947712418301
Action Facilitation -> Evasion -> Core Persuasion,0.09090909090909091,0.09803921568627451,-0.007130124777183597
Exploration -> Evasion -> Exploration,0.030303030303030304,0.0392156862745098,-0.0089126559714795
Exploration -> Evasion -> Core Persuasion,0.1919191919191919,0.2222222222222222,-0.030303030303030304
Action Facilitation -> Evasion -> Action Facilitation,0.020202020202020204,0.05228758169934641,-0.03208556149732621
Core Persuasion -> Evasion -> Action Facilitation,0.1111111111111111,0.1568627450980392,-0.04575163398692811
