Triplet,Prob_Success,Prob_Fail,Golden_Diff
Core Persuasion -> Evasion -> Action Facilitation,0.15384615384615385,0.06551724137931035,0.0883289124668435
Exploration -> Evasion -> Action Facilitation,0.08076923076923077,0.05724137931034483,0.023527851458885946
Core Persuasion -> Evasion -> Exploration,0.03076923076923077,0.015862068965517243,0.014907161803713528
Action Facilitation -> Evasion -> Core Persuasion,0.046153846153846156,0.037241379310344824,0.008912466843501332
Core Persuasion -> Evasion -> Core Persuasion,0.023076923076923078,0.015172413793103448,0.00790450928381963
Core Persuasion -> Offensive -> Action Facilitation,0.007692307692307693,0.001379310344827586,0.006312997347480106
Exploration -> Defensive -> Core Persuasion,0.011538461538461539,0.007586206896551724,0.003952254641909815
Other -> Evasion -> Action Facilitation,0.0038461538461538464,0.0001,0.0037461538461538465
Core Persuasion -> Offensive -> Core Persuasion,0.0038461538461538464,0.0001,0.0037461538461538465
Action Facilitation -> Defensive -> Exploration,0.019230769230769232,0.015862068965517243,0.0033687002652519893
Action Facilitation -> Offensive -> Core Persuasion,0.0038461538461538464,0.000689655172413793,0.003156498673740053
Action Facilitation -> Offensive -> Exploration,0.0038461538461538464,0.001379310344827586,0.0024668435013262603
Core Persuasion -> Defensive -> Action Facilitation,0.023076923076923078,0.023448275862068966,-0.0003713527851458877
Core Persuasion -> Compliance -> Action Facilitation,0.0001,0.000689655172413793,-0.000589655172413793
Exploration -> Offensive -> Action Facilitation,0.0001,0.000689655172413793,-0.000589655172413793
