Triplet,Prob_Success,Prob_Fail,Golden_Diff
Action Facilitation -> Evasion -> Action Facilitation,0.1901639344262295,0.1361344537815126,0.05402948064471691
Core Persuasion -> Evasion -> Action Facilitation,0.20655737704918034,0.19663865546218487,0.009918721586995471
Core Persuasion -> Evasion -> Core Persuasion,0.17704918032786884,0.16806722689075632,0.008981953437112528
Exploration -> Evasion -> Core Persuasion,0.06229508196721312,0.05378151260504202,0.008513569362171097
Core Persuasion -> Defensive -> Core Persuasion,0.01639344262295082,0.008403361344537815,0.007990081278413006
Core Persuasion -> Offensive -> Action Facilitation,0.006557377049180328,0.0001,0.006457377049180328
Action Facilitation -> Offensive -> Action Facilitation,0.006557377049180328,0.0016806722689075631,0.004876704780272765
Exploration -> Defensive -> Core Persuasion,0.006557377049180328,0.0016806722689075631,0.004876704780272765
Core Persuasion -> Offensive -> Exploration,0.003278688524590164,0.0001,0.003178688524590164
Exploration -> Offensive -> Core Persuasion,0.003278688524590164,0.0001,0.003178688524590164
Other -> Evasion -> Core Persuasion,0.003278688524590164,0.0016806722689075631,0.0015980162556826008
Action Facilitation -> Defensive -> Exploration,0.006557377049180328,0.0067226890756302525,-0.00016531202644992464
Action Facilitation -> Evasion -> Core Persuasion,0.12459016393442623,0.12605042016806722,-0.0014602562336409886
Action Facilitation -> Offensive -> Core Persuasion,0.003278688524590164,0.005042016806722689,-0.0017633282821325254
Other -> Evasion -> Action Facilitation,0.0001,0.0033613445378151263,-0.0032613445378151264
