Triplet,Prob_Success,Prob_Fail,Golden_Diff
Personal Story -> Hesitance -> Foot in the Door,0.0842911877394636,0.028965517241379312,0.05532567049808429
Self Modeling -> Hesitance -> Foot in the Door,0.07279693486590039,0.046206896551724136,0.02659003831417625
Personal Related Inquiry -> Hesitance -> Foot in the Door,0.019157088122605363,0.0020689655172413794,0.017088122605363982
Donation Information -> Hesitance -> Foot in the Door,0.019157088122605363,0.0034482758620689655,0.015708812260536397
Foot in the Door -> Hesitance -> Foot in the Door,0.2567049808429119,0.24275862068965517,0.013946360153256704
Credibility Appeal -> Hesitance -> Foot in the Door,0.019157088122605363,0.005517241379310344,0.013639846743295018
Emotion Appeal -> Hesitance -> Foot in the Door,0.01532567049808429,0.004137931034482759,0.01118773946360153
Personal Story -> Hesitance -> Personal Related Inquiry,0.011494252873563218,0.0020689655172413794,0.00942528735632184
Credibility Appeal -> Information Inquiry -> Source Related Inquiry,0.011494252873563218,0.004137931034482759,0.0073563218390804595
Personal Related Inquiry -> Personal Choice -> Personal Story,0.011494252873563218,0.004137931034482759,0.0073563218390804595
Source Related Inquiry -> Hesitance -> Foot in the Door,0.022988505747126436,0.016551724137931035,0.0064367816091954015
Task Related Inquiry -> Hesitance -> Foot in the Door,0.011494252873563218,0.005517241379310344,0.005977011494252874
Source Related Inquiry -> Hesitance -> Task Related Inquiry,0.007662835249042145,0.0020689655172413794,0.005593869731800765
Foot in the Door -> Hesitance -> Personal Story,0.019157088122605363,0.013793103448275862,0.005363984674329501
Personal Story -> Hesitance -> Personal Story,0.011494252873563218,0.006206896551724138,0.0052873563218390806
