Triplet,Prob_Success,Prob_Fail,Golden_Diff
Personal Story -> Hesitance -> Foot in the Door,0.057057057057057055,0.033166742389822805,0.02389031466723425
Donation Information -> Hesitance -> Foot in the Door,0.03003003003003003,0.006360745115856429,0.0236692849141736
Credibility Appeal -> Hesitance -> Foot in the Door,0.04054054054054054,0.02407996365288505,0.016460576887655492
Personal Story -> Information Inquiry -> Credibility Appeal,0.021021021021021023,0.006360745115856429,0.014660275905164593
Credibility Appeal -> Information Inquiry -> Donation Information,0.018018018018018018,0.004543389368468878,0.013474628649549139
Foot in the Door -> Information Inquiry -> Credibility Appeal,0.015015015015015015,0.007269422989550204,0.007745592025464811
Credibility Appeal -> Hesitance -> Personal Related Inquiry,0.0075075075075075074,0.0001,0.007407507507507507
Emotion Appeal -> Hesitance -> Foot in the Door,0.012012012012012012,0.004997728305315766,0.007014283706696246
Credibility Appeal -> Hesitance -> Personal Story,0.016516516516516516,0.009995456610631531,0.006521059905884984
Greeting -> Others -> Foot in the Door,0.010510510510510511,0.00408905043162199,0.006421460078888521
Greeting -> Others -> Personal Story,0.009009009009009009,0.0027260336210813267,0.006282975387927683
Credibility Appeal -> Information Inquiry -> Credibility Appeal,0.018018018018018018,0.011812812358019082,0.006205205659998936
Foot in the Door -> Hesitance -> Personal Story,0.02252252252252252,0.01635620172648796,0.006166320796034561
Personal Related Inquiry -> Hesitance -> Foot in the Door,0.0075075075075075074,0.001817355747387551,0.005690151760119957
Emotion Appeal -> Information Inquiry -> Credibility Appeal,0.012012012012012012,0.006360745115856429,0.005651266896155583
