Turn,Outcome,Mean_H_coupled,Count
2,Fail,0.4420724297041572,36
2,Success,0.40967293483644623,24
3,Fail,0.390997919990684,73
3,Success,0.3959520958058727,47
4,Fail,0.3956802813628538,115
4,Success,0.4169897049190493,65
5,Fail,0.4487972600487619,154
5,Success,0.45660382889763107,86
6,Fail,0.48910752736571905,190
6,Success,0.48978837004549125,100
7,Fail,0.5101646686480862,227
7,Success,0.5087818601322335,96
8,Fail,0.5198874366806329,261
8,Success,0.5300688848538444,68
9,Fail,0.5228761489804375,300
9,Success,0.5241250807078063,44
10,Fail,0.520911529145465,337
10,Success,0.5264641646272021,20
