Experiment,Outcome,Turn,Phase,User_ID,Prev_Sys_Spec,Prev_User_Spec,Curr_Sys_Spec,Triplet,H_state,H_action,H_coupled,Delta_H_state,Delta_H_action,Delta_H_coupled,Dissonance
Qwen3-8B,Fail,2,Early (2-3),persona_36,Greeting,Others,Emotion Appeal,Greeting -> Others -> Emotion Appeal,0.5545563752193174,0.3035468992474182,,,,,0.25100947597189927
Qwen3-8B,Fail,3,Early (2-3),persona_36,Emotion Appeal,Information Inquiry,Credibility Appeal,Emotion Appeal -> Information Inquiry -> Credibility Appeal,0.3900148401993468,0.3074150966760047,,-0.16454153501997065,0.0038681974285865173,,0.0825997435233421
Qwen3-8B,Fail,4,Mid (4-6),persona_36,Credibility Appeal,Hesitance,Foot in the Door,Credibility Appeal -> Hesitance -> Foot in the Door,0.5042664671272546,0.14673189215136506,,0.11425162692790786,-0.16068320452463963,,0.3575345749758896
Qwen3-8B,Fail,5,Mid (4-6),persona_36,Foot in the Door,Hesitance,Self Modeling,Foot in the Door -> Hesitance -> Self Modeling,0.5906913497889196,0.4513030870938565,,0.08642488266166493,0.30457119494249146,,0.13938826269506305
Qwen3-8B,Fail,6,Mid (4-6),persona_36,Self Modeling,Hesitance,Task Related Inquiry,Self Modeling -> Hesitance -> Task Related Inquiry,0.5265482513035806,0.45144518020970253,,-0.06414309848533895,0.00014209311584600925,,0.0751030710938781
Qwen3-8B,Fail,7,Late (7-10),persona_36,Task Related Inquiry,Personal Choice,Personal Related Inquiry,Task Related Inquiry -> Personal Choice -> Personal Related Inquiry,0.5621381666202935,0.10576781482022161,,0.03558991531671285,-0.3456773653894809,,0.45637035180007185
Qwen3-8B,Fail,8,Late (7-10),persona_36,Personal Related Inquiry,Hesitance,Foot in the Door,Personal Related Inquiry -> Hesitance -> Foot in the Door,0.48341824959001595,0.22597605541751303,,-0.07871991703027753,0.12020824059729142,,0.2574421941725029
Qwen3-8B,Fail,9,Late (7-10),persona_36,Foot in the Door,Others,Foot in the Door,Foot in the Door -> Others -> Foot in the Door,0.5109624254167213,0.21549060059392813,,0.027544175826705375,-0.0104854548235849,,0.2954718248227932
Qwen3-8B,Fail,10,Late (7-10),persona_36,Foot in the Door,Others,Foot in the Door,Foot in the Door -> Others -> Foot in the Door,0.5680706973467868,0.012295126754192236,,0.05710827193006551,-0.2031954738397359,,0.5557755705925946
Qwen3-8B,Success,2,Early (2-3),persona_36,Greeting,Others,Personal Story,Greeting -> Others -> Personal Story,0.4630415557195373,0.20740804526268672,,,,,0.25563351045685057
Qwen3-8B,Success,3,Early (2-3),persona_36,Personal Story,Hesitance,Foot in the Door,Personal Story -> Hesitance -> Foot in the Door,0.5133967270805594,0.45528424355222885,,0.05035517136102208,0.24787619828954213,,0.05811248352833054
Qwen3-8B,Success,4,Mid (4-6),persona_36,Foot in the Door,Information Inquiry,Credibility Appeal,Foot in the Door -> Information Inquiry -> Credibility Appeal,0.4392271269542732,0.2882323623615937,,-0.0741696001262862,-0.16705188119063513,,0.15099476459267946
Qwen3-8B,Success,5,Mid (4-6),persona_36,Credibility Appeal,Hesitance,Personal Related Inquiry,Credibility Appeal -> Hesitance -> Personal Related Inquiry,0.43474851704138523,0.14923480740593412,,-0.004478609912887954,-0.1389975549556596,,0.2855137096354511
Qwen3-8B,Success,6,Mid (4-6),persona_36,Personal Related Inquiry,Hesitance,Emotion Appeal,Personal Related Inquiry -> Hesitance -> Emotion Appeal,0.4145169159592683,0.023656917493767606,,-0.020231601082116912,-0.1255778899121665,,0.39085999846550074
Qwen3-8B,Success,2,Early (2-3),persona_36,Greeting,Others,Credibility Appeal,Greeting -> Others -> Credibility Appeal,0.42668048180798696,0.29097350827665336,,,,,0.1357069735313336
Qwen3-8B,Success,3,Early (2-3),persona_36,Credibility Appeal,Information Inquiry,Donation Information,Credibility Appeal -> Information Inquiry -> Donation Information,0.47007397929358163,0.0003697672544316528,,0.04339349748559468,-0.2906037410222217,,0.46970421203914997
