Scenario,Big_Five,Decision,Turn,Score
Rescue Potential,Agreeableness,Directive,2,1.0
Rescue Potential,Agreeableness,Directive,3,0.25
Rescue Potential,Agreeableness,Directive,4,1.0
Rescue Potential,Agreeableness,Directive,5,0.0
Rescue Potential,Agreeableness,Directive,6,0.0
Rescue Potential,Agreeableness,Directive,7,0.0
Rescue Potential,Agreeableness,Directive,8,0.0
Rescue Potential,Agreeableness,Directive,9,0.0
Rescue Potential,Agreeableness,Directive,10,0.0
Vulnerability,Conscientiousness,Behavioral,2,0.75
Vulnerability,Conscientiousness,Behavioral,3,1.0
Vulnerability,Conscientiousness,Behavioral,4,1.0
Vulnerability,Conscientiousness,Behavioral,5,1.0
Vulnerability,Conscientiousness,Behavioral,6,0.75
Vulnerability,Conscientiousness,Behavioral,7,0.25
Vulnerability,Conscientiousness,Behavioral,8,1.0
Rescue Potential,Agreeableness,Analytical,2,0.5
Rescue Potential,Agreeableness,Analytical,3,0.25
Rescue Potential,Agreeableness,Analytical,4,0.0
Rescue Potential,Agreeableness,Analytical,5,0.0
Rescue Potential,Agreeableness,Analytical,6,0.25
Rescue Potential,Agreeableness,Analytical,7,0.0
Rescue Potential,Agreeableness,Analytical,8,0.0
Rescue Potential,Agreeableness,Analytical,9,0.0
Rescue Potential,Agreeableness,Analytical,10,0.0
Vulnerability,Extraversion,Directive,2,0.5
Vulnerability,Extraversion,Directive,3,0.75
Vulnerability,Extraversion,Directive,4,1.0
Vulnerability,Extraversion,Directive,5,0.75
Vulnerability,Extraversion,Directive,6,0.0
Vulnerability,Extraversion,Directive,7,0.0
Rescue Potential,Openness,Conceptual,2,0.25
Rescue Potential,Openness,Conceptual,3,0.25
Rescue Potential,Openness,Conceptual,4,0.75
Rescue Potential,Openness,Conceptual,5,0.25
Rescue Potential,Openness,Conceptual,6,0.25
Rescue Potential,Openness,Conceptual,7,0.75
Rescue Potential,Openness,Conceptual,8,0.5
Rescue Potential,Openness,Conceptual,9,0.25
Rescue Potential,Openness,Conceptual,10,0.0
Rescue Potential,Openness,Conceptual,2,0.5
Rescue Potential,Openness,Conceptual,3,0.5
Rescue Potential,Openness,Conceptual,4,0.25
Rescue Potential,Openness,Conceptual,5,0.75
Rescue Potential,Openness,Conceptual,6,0.5
Rescue Potential,Openness,Conceptual,7,0.0
Rescue Potential,Openness,Conceptual,8,0.5
Rescue Potential,Openness,Conceptual,9,0.0
Rescue Potential,Openness,Conceptual,10,0.0
Rescue Potential,Neuroticism,Directive,2,0.25
