Scenario,Big_Five,Decision,Turn,Score
Vulnerability,Extraversion,Directive,2,0.5
Vulnerability,Extraversion,Directive,3,0.5
Vulnerability,Extraversion,Directive,4,0.75
Vulnerability,Extraversion,Directive,5,0.75
Vulnerability,Extraversion,Directive,6,0.75
Rescue Potential,Openness,Conceptual,2,0.75
Rescue Potential,Openness,Conceptual,3,0.25
Rescue Potential,Openness,Conceptual,4,0.0
Rescue Potential,Openness,Conceptual,5,0.0
Rescue Potential,Openness,Conceptual,6,0.0
Rescue Potential,Openness,Conceptual,7,0.0
Rescue Potential,Openness,Conceptual,8,0.0
Rescue Potential,Openness,Conceptual,9,0.25
Rescue Potential,Openness,Conceptual,10,0.0
Vulnerability,Openness,Conceptual,2,0.5
Vulnerability,Openness,Conceptual,3,0.25
Vulnerability,Openness,Conceptual,4,0.0
Vulnerability,Openness,Conceptual,5,0.0
Rescue Potential,Neuroticism,Directive,2,0.75
Rescue Potential,Neuroticism,Directive,3,0.0
Rescue Potential,Neuroticism,Directive,4,0.0
Rescue Potential,Neuroticism,Directive,5,0.5
Rescue Potential,Neuroticism,Directive,6,0.25
Rescue Potential,Neuroticism,Directive,7,0.0
Rescue Potential,Neuroticism,Directive,8,0.25
Rescue Potential,Neuroticism,Directive,9,0.75
Rescue Potential,Neuroticism,Directive,10,0.25
Rescue Potential,Conscientiousness,Conceptual,2,0.0
Rescue Potential,Conscientiousness,Conceptual,3,0.25
Rescue Potential,Conscientiousness,Conceptual,4,0.5
Rescue Potential,Conscientiousness,Conceptual,5,0.5
Rescue Potential,Conscientiousness,Conceptual,6,0.75
Rescue Potential,Conscientiousness,Conceptual,7,1.0
Rescue Potential,Conscientiousness,Conceptual,8,0.75
Rescue Potential,Conscientiousness,Conceptual,9,0.0
Rescue Potential,Conscientiousness,Conceptual,10,0.0
Vulnerability,Agreeableness,Conceptual,2,0.25
Vulnerability,Agreeableness,Conceptual,3,0.5
Vulnerability,Agreeableness,Conceptual,4,0.0
Rescue Potential,Openness,Directive,2,0.75
Rescue Potential,Openness,Directive,3,0.5
Rescue Potential,Openness,Directive,4,0.0
Rescue Potential,Openness,Directive,5,0.75
Rescue Potential,Openness,Directive,6,0.75
Rescue Potential,Openness,Directive,7,1.0
Rescue Potential,Openness,Directive,8,1.0
Rescue Potential,Openness,Directive,9,1.0
Rescue Potential,Openness,Directive,10,0.5
Rescue Potential,Agreeableness,Analytical,2,0.5
Rescue Potential,Agreeableness,Analytical,3,0.75
Rescue Potential,Agreeableness,Analytical,4,0.25
Rescue Potential,Agreeableness,Analytical,5,0.5
Rescue Potential,Agreeableness,Analytical,6,1.0
Rescue Potential,Agreeableness,Analytical,7,1.0
Rescue Potential,Agreeableness,Analytical,8,1.0
Rescue Potential,Agreeableness,Analytical,9,0.0
Rescue Potential,Agreeableness,Analytical,10,0.0
Vulnerability,Neuroticism,Directive,2,0.75
Vulnerability,Neuroticism,Directive,3,0.75
Vulnerability,Neuroticism,Directive,4,0.75
Vulnerability,Neuroticism,Directive,5,0.25
Vulnerability,Neuroticism,Directive,6,0.0
Vulnerability,Neuroticism,Directive,7,0.75
Vulnerability,Neuroticism,Directive,8,0.25
Vulnerability,Neuroticism,Directive,9,0.25
Vulnerability,Neuroticism,Analytical,2,0.25
Vulnerability,Neuroticism,Analytical,3,0.0
Vulnerability,Neuroticism,Analytical,4,0.75
Vulnerability,Neuroticism,Analytical,5,0.0
Rescue Potential,Conscientiousness,Behavioral,2,0.0
Rescue Potential,Conscientiousness,Behavioral,3,0.5
Rescue Potential,Conscientiousness,Behavioral,4,0.75
Rescue Potential,Conscientiousness,Behavioral,5,0.5
Rescue Potential,Conscientiousness,Behavioral,6,0.25
Rescue Potential,Conscientiousness,Behavioral,7,0.25
Rescue Potential,Conscientiousness,Behavioral,8,0.0
Rescue Potential,Conscientiousness,Behavioral,9,0.0
Rescue Potential,Conscientiousness,Behavioral,10,0.0
Vulnerability,Openness,Behavioral,2,0.25
Vulnerability,Openness,Behavioral,3,0.5
Vulnerability,Openness,Behavioral,4,0.5
Vulnerability,Openness,Behavioral,5,0.75
Vulnerability,Openness,Behavioral,6,0.75
Vulnerability,Openness,Behavioral,7,0.75
Vulnerability,Openness,Behavioral,8,0.5
Vulnerability,Agreeableness,Directive,2,0.0
Vulnerability,Agreeableness,Directive,3,0.25
Vulnerability,Agreeableness,Directive,4,0.25
Vulnerability,Agreeableness,Directive,5,0.75
Vulnerability,Agreeableness,Directive,6,0.0
Vulnerability,Agreeableness,Analytical,2,0.0
Vulnerability,Agreeableness,Analytical,3,0.25
Vulnerability,Agreeableness,Analytical,4,0.25
Vulnerability,Agreeableness,Analytical,5,0.5
Vulnerability,Agreeableness,Analytical,6,0.25
Vulnerability,Agreeableness,Analytical,7,1.0
Vulnerability,Agreeableness,Analytical,8,1.0
Vulnerability,Agreeableness,Analytical,9,0.25
Vulnerability,Extraversion,Behavioral,2,0.5
Vulnerability,Extraversion,Behavioral,3,0.0
Vulnerability,Extraversion,Behavioral,4,0.25
Vulnerability,Extraversion,Behavioral,5,0.0
Vulnerability,Extraversion,Behavioral,6,0.5
Vulnerability,Extraversion,Behavioral,7,0.0
Rescue Potential,Extraversion,Behavioral,2,0.75
Rescue Potential,Extraversion,Behavioral,3,1.0
Rescue Potential,Extraversion,Behavioral,4,1.0
Rescue Potential,Extraversion,Behavioral,5,0.75
Rescue Potential,Extraversion,Behavioral,6,1.0
Rescue Potential,Extraversion,Behavioral,7,0.75
Rescue Potential,Extraversion,Behavioral,8,0.75
Rescue Potential,Extraversion,Behavioral,9,0.25
Rescue Potential,Extraversion,Behavioral,10,0.0
Rescue Potential,Agreeableness,Directive,2,0.5
Rescue Potential,Agreeableness,Directive,3,0.75
Rescue Potential,Agreeableness,Directive,4,0.75
Rescue Potential,Agreeableness,Directive,5,1.0
Rescue Potential,Agreeableness,Directive,6,0.25
Rescue Potential,Agreeableness,Directive,7,1.0
Rescue Potential,Agreeableness,Directive,8,0.5
Rescue Potential,Agreeableness,Directive,9,0.0
Rescue Potential,Agreeableness,Directive,10,0.0
Rescue Potential,Conscientiousness,Directive,2,0.0
Rescue Potential,Conscientiousness,Directive,3,0.25
Rescue Potential,Conscientiousness,Directive,4,0.0
Rescue Potential,Conscientiousness,Directive,5,0.25
Rescue Potential,Conscientiousness,Directive,6,0.25
Rescue Potential,Conscientiousness,Directive,7,0.25
Rescue Potential,Conscientiousness,Directive,8,0.0
Rescue Potential,Conscientiousness,Directive,9,0.0
Rescue Potential,Conscientiousness,Directive,10,0.0
