Factor,Importance,Reward_Type
Dialogue Turn (Time),0.05175077574715874,Original Advantage
State Entropy (H_s),0.1942090386145609,Original Advantage
Action Entropy (H_a),0.11317724311750614,Original Advantage
State Entropy Delta (ΔH_s),0.14856827909169612,Original Advantage
Action Entropy Delta (ΔH_a),0.13989364791601674,Original Advantage
Cognitive Dissonance,0.1350991965237218,Original Advantage
Big-Five Difficulty,0.04539596471862743,Original Advantage
Decision-Making Difficulty,0.030434511397618953,Original Advantage
System Strategy (Specific & Category),0.1007515955172068,Original Advantage
User Resistance (Specific & Category),0.04071974735588609,Original Advantage
Dialogue Turn (Time),0.05237866520958394,Temporal Curriculum Advantage
State Entropy (H_s),0.17738009269634278,Temporal Curriculum Advantage
Action Entropy (H_a),0.09325903230648232,Temporal Curriculum Advantage
State Entropy Delta (ΔH_s),0.1486481081047566,Temporal Curriculum Advantage
Action Entropy Delta (ΔH_a),0.17206876793031092,Temporal Curriculum Advantage
Cognitive Dissonance,0.13419194752090188,Temporal Curriculum Advantage
Big-Five Difficulty,0.04057735441647638,Temporal Curriculum Advantage
Decision-Making Difficulty,0.02262299056566006,Temporal Curriculum Advantage
System Strategy (Specific & Category),0.11074743481920238,Temporal Curriculum Advantage
User Resistance (Specific & Category),0.04812560643028289,Temporal Curriculum Advantage
