Turn,Outcome,Mean_H_state,Mean_H_action,Count
2,Fail,0.46576917085449965,0.2856372230630088,53
2,Success,0.43910142347217784,0.28527787596363147,37
3,Fail,0.3862341183720507,0.19569333422051793,59
3,Success,0.38684003550861773,0.1704209777450016,31
4,Fail,0.3933435340129428,0.17303113858760816,62
4,Success,0.3899157145057202,0.2229924329195947,28
5,Fail,0.4328529738450342,0.18906821677829125,63
5,Success,0.46808855330890525,0.21556247351831026,27
6,Fail,0.47307086906148627,0.1929877258523436,58
6,Success,0.4851290816791782,0.24890027091541816,27
7,Fail,0.512744851866298,0.1657472374807478,58
7,Success,0.5167879914541005,0.24547307988456232,22
8,Fail,0.4980993026545415,0.18163437234380042,58
8,Success,0.534379379320876,0.13183010361432665,12
9,Fail,0.5143808082371737,0.20262722172164535,59
9,Success,0.5394421662892762,0.12850643788852237,6
10,Fail,0.5108978259946021,0.19003945213830084,58
